,ACWI,AGG,GLD,BSV
2016-11-11,0.18750375544539585,0.25069287967552956,0.09603331080066095,0.46577005407841376
2016-11-18,0.31250375544539577,0.21212456607474559,0.08125888700420009,0.3941127914756584
2016-11-25,0.4375037554453958,0.1735562524739617,0.06648446320773925,0.32245552887290324
2016-12-02,0.5625037554453958,0.13498793887317778,0.0517100394112784,0.250798266270148
2016-12-09,0.6875037554453958,0.09641962527239388,0.03693561561481755,0.17914100366739277
2016-12-16,0.8125037554453958,0.05785131167160998,0.0221611918183567,0.10748374106463754
2016-12-23,0.9375037554453958,0.01928299807082607,0.00738676802189585,0.03582647846188229
2016-12-30,1.0,0.0,0.0,0.0
2017-01-06,1.0,0.0,0.0,0.0
2017-01-13,1.0,0.0,0.0,0.0
2017-01-20,1.0,0.0,0.0,0.0
2017-01-27,1.0,0.0,0.0,0.0
2017-02-03,1.0,0.0,0.0,0.0
2017-02-10,1.0,0.0,0.0,0.0
2017-02-17,0.875,0.0,0.0,0.12500000000000003
2017-02-24,0.75,0.026315789473684206,0.05263157894736841,0.1710526315789474
2017-03-03,0.6349118942731278,0.016403895200556455,0.11650823092974727,0.23217597959656855
2017-03-10,0.7599118942731278,0.010787478593427775,0.07661778082257889,0.1526828463108656
2017-03-17,0.6390449653985204,0.006654407468035128,0.13240408039812862,0.2218965467353159
2017-03-24,0.5245341678237392,0.051370171437820876,0.21268831642834285,0.21140734431009714
2017-03-31,0.4483800263927024,0.002524312868857667,0.32740487796297424,0.22169078277546575
2017-04-07,0.44444444444444436,0.0,0.3333333333333333,0.22222222222222218
2017-04-13,0.4,0.1,0.30000000000000004,0.2
2017-04-21,0.39999999999999997,0.09999999999999999,0.19999999999999998,0.3
2017-04-28,0.39999999999999997,0.09999999999999999,0.19999999999999998,0.3
2017-05-05,0.4277777777777777,0.17638888888888885,0.07500000000000005,0.3208333333333333
2017-05-12,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2017-05-19,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-05-26,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-06-02,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-06-09,0.4,0.30000000000000004,0.1,0.2
2017-06-16,0.4,0.30000000000000004,0.1,0.2
2017-06-23,0.4,0.30000000000000004,0.1,0.2
2017-06-30,0.4,0.30000000000000004,0.1,0.2
2017-07-07,0.43124999999999997,0.2453125,0.029687500000000012,0.29374999999999996
2017-07-14,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2017-07-21,0.44444444444444453,0.22222222222222227,0.0,0.33333333333333337
2017-07-28,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-08-04,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-08-11,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-08-18,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-08-25,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-09-01,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-09-08,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-09-15,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-09-22,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-09-29,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-10-06,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-10-13,0.4,0.30000000000000004,0.1,0.2
2017-10-20,0.4000000000000001,0.20000000000000004,0.10000000000000002,0.30000000000000004
2017-10-27,0.4,0.30000000000000004,0.1,0.2
2017-11-03,0.4,0.30000000000000004,0.1,0.2
2017-11-10,0.4,0.30000000000000004,0.1,0.2
2017-11-17,0.3999999999999999,0.3,0.19999999999999996,0.09999999999999998
2017-11-24,0.3999999999999999,0.3,0.19999999999999996,0.09999999999999998
2017-12-01,0.42777777777777776,0.32083333333333336,0.07500000000000002,0.17638888888888887
2017-12-08,0.4992063492063492,0.3744047619047619,0.03770718232044201,0.08868170656844691
2017-12-15,0.42777777777777776,0.32083333333333336,0.08255801104972378,0.16883087783916517
2017-12-22,0.4401175426359455,0.33008815697695915,0.18596342254793025,0.04383087783916517
2017-12-29,0.3999999999999999,0.3,0.19999999999999996,0.09999999999999998
2018-01-05,0.43125,0.24531250000000004,0.29374999999999996,0.029687500000000033
2018-01-12,0.44444444444444453,0.22222222222222227,0.33333333333333337,0.0
2018-01-19,0.5158730158730159,0.09722222222222224,0.3869047619047619,0.0
2018-01-26,0.44444444444444453,0.22222222222222227,0.33333333333333337,0.0
2018-02-02,0.5158730158730159,0.09722222222222224,0.3869047619047619,0.0
2018-02-09,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-02-16,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-02-23,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-03-02,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-03-09,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-03-16,0.5714285714285715,0.0,0.4285714285714286,0.0
2018-03-23,0.4464285714285715,0.0,0.5535714285714286,0.0
2018-03-29,0.4285714285714286,0.0,0.5714285714285715,0.0
