date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2011-07-22,1.0,0.09999999999999999,0.39999999999999997,0.15000000000000008,True,True,True,True,train
2011-07-29,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2011-08-05,1.0,0.0,0.44444444444444453,0.20000000000000023,True,True,True,True,train
2011-08-12,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-08-19,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-08-26,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-09-02,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-09-09,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-09-16,1.0,0.0,0.44444444444444453,0.2222222222222222,True,True,True,True,train
2011-09-23,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-09-30,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-10-07,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-10-14,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-10-21,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-10-28,0.9999999999999999,0.0,0.44444444444444436,0.2222222222222224,True,True,True,True,train
2011-11-04,1.0,0.0,0.44444444444444453,0.2222222222222224,True,True,True,True,train
2011-11-11,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-11-18,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2011-11-25,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-12-02,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-12-09,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2011-12-16,1.0,0.0,0.5158730158730159,0.24999999999999997,True,True,True,True,train
2011-12-23,1.0,0.0,0.44444444444444453,0.24999999999999997,True,True,True,True,train
2011-12-30,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-01-06,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-01-13,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-01-20,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-01-27,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-02-03,1.0,0.12499999999999997,0.41666666666666663,0.25000000000000017,True,True,True,True,train
2012-02-10,1.0,0.10000000000000002,0.4000000000000001,0.1499999999999999,True,True,True,True,train
2012-02-17,1.0,0.1,0.4,0.20000000000000012,True,True,True,True,train
2012-02-24,1.0,0.1,0.4,0.0,True,True,True,True,train
2012-03-02,1.0,0.10000000000000002,0.4000000000000001,0.20000000000000012,True,True,True,True,train
2012-03-09,1.0,0.10000000000000002,0.4000000000000001,0.0,True,True,True,True,train
2012-03-16,1.0,0.10000000000000002,0.32500000000000007,0.25,True,True,True,True,train
2012-03-23,1.0,0.10000000000000002,0.4000000000000001,0.15000000000000005,True,True,True,True,train
2012-03-30,1.0,0.09999999999999999,0.39999999999999997,0.2000000000000001,True,True,True,True,train
2012-04-05,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2012-04-13,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2012-04-20,1.0,0.10000000000000002,0.4000000000000001,0.2000000000000001,True,True,True,True,train
2012-04-27,1.0,0.0,0.44444444444444453,0.2,True,True,True,True,train
2012-05-04,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2012-05-11,1.0,0.0,0.5158730158730159,0.24999999999999997,True,True,True,True,train
2012-05-18,1.0,0.0,0.5714285714285715,0.1944444444444445,True,True,True,True,train
2012-05-25,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2012-06-01,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2012-06-08,1.0,0.0,0.5535714285714286,0.25,True,True,True,True,train
2012-06-15,1.0,0.0,0.4453125000000001,0.25,True,True,True,True,train
2012-06-22,1.0,0.0,0.5703125000000001,0.25,True,True,True,True,train
2012-06-29,1.0,0.0,0.4991575180655921,0.25,True,True,True,True,train
2012-07-06,0.9999999999999999,0.0,0.5707946148201243,0.24999999999999983,True,True,True,True,train
2012-07-13,1.0,0.0,0.5714285714285715,0.002212389380531088,True,True,True,True,train
2012-07-20,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2012-07-27,1.0,0.0,0.5714285714285715,0.0,True,True,True,True,train
2012-08-03,1.0,0.0,0.5,0.2500000000000001,True,True,True,True,train
2012-08-10,1.0,0.0,0.44444444444444453,0.19444444444444436,True,True,True,True,train
2012-08-17,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2012-08-24,1.0,0.09999999999999999,0.39999999999999997,0.20000000000000023,True,True,True,True,train
2012-08-31,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2012-09-07,1.0,0.10000000000000002,0.4000000000000001,0.2000000000000001,True,True,True,True,train
2012-09-14,1.0,0.1,0.3625,0.25,True,True,True,True,train
2012-09-21,1.0,0.09999999999999999,0.39999999999999997,0.12499999999999999,True,True,True,True,train
2012-09-28,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999998,True,True,True,True,train
2012-10-05,1.0,0.13749999999999998,0.39999999999999997,0.25,True,True,True,True,train
2012-10-12,1.0,0.09999999999999999,0.39999999999999997,0.25,True,True,True,True,train
2012-10-19,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2012-10-26,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2012-11-02,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999998,True,True,True,True,train
2012-11-09,1.0,0.13749999999999998,0.3625,0.25,True,True,True,True,train
2012-11-16,1.0,0.09999999999999999,0.39999999999999997,0.14999999999999997,True,True,True,True,train
2012-11-23,1.0,0.10000000000000002,0.4000000000000001,0.20000000000000018,True,True,True,True,train
2012-11-30,1.0,0.09999999999999999,0.39999999999999997,0.2000000000000001,True,True,True,True,train
2012-12-07,1.0,0.10000000000000002,0.4000000000000001,0.2000000000000001,True,True,True,True,train
2012-12-14,1.0,0.025000000000000015,0.40833333333333327,0.2499999999999999,True,True,True,True,train
2012-12-21,1.0,0.011280487804878055,0.3671747967479675,0.24999999999999997,True,True,True,True,train
2012-12-28,1.0,0.0022551192012353807,0.4238978028331888,0.25,True,True,True,True,train
2013-01-04,0.9999999999999999,0.0,0.44444444444444436,0.062466124661246535,True,True,True,True,train
2013-01-11,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2013-01-18,1.0,0.1,0.4,0.1999999999999998,True,True,True,True,train
2013-01-25,0.9999999999999999,0.0,0.44444444444444436,0.1999999999999998,True,True,True,True,train
2013-02-01,1.0000000000000002,0.0,0.5694444444444445,0.2500000000000001,True,True,True,True,train
2013-02-08,0.9999999999999999,0.0,0.44444444444444436,0.2500000000000001,True,True,True,True,train
2013-02-15,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2013-02-22,0.9999999999999999,0.0,0.44444444444444436,0.0,True,True,True,True,train
2013-03-01,1.0,0.0,0.44444444444444453,0.2222222222222224,True,True,True,True,train
2013-03-08,1.0,0.0,0.5158730158730159,0.24999999999999997,True,True,True,True,train
2013-03-15,1.0,0.0,0.4780578898225957,0.25,True,True,True,True,train
2013-03-22,1.0,0.0,0.44444444444444453,0.06722689075630248,True,True,True,True,train
2013-03-28,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-04-05,1.0,0.0,0.39583333333333337,0.25,True,True,True,True,train
2013-04-12,1.0,0.0,0.44444444444444453,0.125,True,True,True,True,train
2013-04-19,1.0,0.0,0.44444444444444453,0.2222222222222222,True,True,True,True,train
2013-04-26,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2013-05-03,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2013-05-10,1.0,0.0,0.38194444444444453,0.24999999999999994,True,True,True,True,train
2013-05-17,1.0,0.0,0.4233091787439613,0.24999999999999994,True,True,True,True,train
2013-05-24,1.0,0.0,0.44444444444444453,0.06944444444444464,True,True,True,True,train
2013-05-31,1.0,0.0,0.5694444444444444,0.24999999999999997,True,True,True,True,train
2013-06-07,1.0,0.0,0.6944444444444444,0.24999999999999997,True,True,True,True,train
2013-06-14,1.0,0.0,0.6317421790722761,0.25,True,True,True,True,train
2013-06-21,1.0,0.0,0.7567421790722761,0.25,True,True,True,True,train
2013-06-28,1.0,0.0,0.8817421790722761,0.25,True,True,True,True,train
2013-07-05,1.0,0.0,1.0,0.2365156418554477,True,True,True,True,train
2013-07-12,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-07-19,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-07-26,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-08-02,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-08-09,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-08-16,1.0,0.0,1.0,0.0,True,True,True,True,train
2013-08-23,1.0,0.0,1.0,0.0,True,True,True,True,train
